Taxa,Population
PI408217B,R.SK
PI408217C,R.SK
PI408222A,R.SK
PI408222B,R.SK
PI408224B,R.SK
PI408226A,R.SK
PI408227,R.SK
PI408228B,R.SK
PI408230,R.SK
PI408231,R.SK
PI408232,R.SK
PI408233A,R.SK
PI408233B,R.SK
PI408234A,R.SK
PI408234B,R.SK
PI408248A,R.SK
PI408248B,R.SK
PI408255A,R.SK
PI408256,R.SK
PI408259A,R.SK
PI408260C,R.SK
PI408262A,R.SK
PI408262B,R.SK
PI408262C,R.SK
PI408262D,R.SK
PI408263,R.SK
PI408264,R.SK
PI408265A,R.SK
PI408265B,R.SK
PI408269A,R.SK
PI408269B,R.SK
PI408269D,R.SK
PI408270B,R.SK
PI408271,R.SK
PI408275,R.SK
PI408277,R.SK
PI408284,R.SK
PI408285A,R.SK
PI408285B,R.SK
PI408290,R.SK
PI408294A,R.SK
PI408295B,R.SK
PI408296A,R.SK
PI408298A,R.SK
PI408298B,R.SK
PI408299,R.SK
PI408302,R.SK
PI408306,R.SK
PI408310A,R.SK
PI408312A,R.SK
PI408312B,R.SK
PI408315A,R.SK
PI408315B,R.SK
PI408318A,R.SK
PI408321,R.SK
PI408329,R.SK
PI408332A,R.SK
PI408334,R.SK
PI408335A,R.SK
PI408338,R.SK
PI423725,R.SK
PI423728A,R.SK
PI423729,R.SK
PI423730A,R.SK
PI423733,R.SK
PI423736A,R.SK
PI423737,R.SK
PI423739,R.SK
PI423740,R.SK
PI423744,R.SK
PI423746,R.SK
PI423747B,R.SK
PI423748A,R.SK
PI423748C,R.SK
PI423752A,R.SK
PI423752B,R.SK
PI423753A,R.SK
PI423756B,R.SK
PI423757,R.SK
PI423763,R.SK
PI423765,R.SK
PI423766,R.SK
PI423769A,R.SK
PI423769B,R.SK
PI423770,R.SK
PI423771,R.SK
PI423776,R.SK
PI423777,R.SK
PI423778,R.SK
PI423787,R.SK
PI423791,R.SK
PI423792,R.SK
PI423795,R.SK
PI423797,R.SK
PI423798B,R.SK
PI423799A,R.SK
PI423800,R.SK
PI423809,R.SK
PI423811,R.SK
PI423812,R.SK
PI423814B,R.SK
PI423815,R.SK
PI423816,R.SK
PI423818,R.SK
PI423830B,R.SK
PI423833B,R.SK
PI423836,R.SK
PI423838,R.SK
PI423839,R.SK
PI423841,R.SK
PI423846,R.SK
PI423851,R.SK
PI423863A,R.SK
PI423863B,R.SK
PI424024,R.SK
PI424078,R.SK
PI424134,R.SK
PI424140,R.SK
PI424149,R.SK
PI424150,R.SK
PI424151,R.SK
PI424152,R.SK
PI424153,R.SK
PI424154A,R.SK
PI424155A,R.SK
PI424155B,R.SK
PI424158,R.SK
PI424159B,R.SK
PI424160,R.SK
PI424162,R.SK
PI424165,R.SK
PI424167,R.SK
PI424168A,R.SK
PI424168C,R.SK
PI424171A,R.SK
PI424172A,R.SK
PI424177,R.SK
PI424179A,R.SK
PI424180,R.SK
PI424184,R.SK
PI424188B,R.SK
PI424189,R.SK
PI424211,R.SK
PI424214B,R.SK
PI424217A,R.SK
PI424217B,R.SK
PI424220A,R.SK
PI424222A,R.SK
PI424225,R.SK
PI424227A,R.SK
PI424229B,R.SK
PI424230,R.SK
PI424231,R.SK
PI424232A,R.SK
PI424232B,R.SK
PI424233,R.SK
PI424234A,R.SK
PI424234B,R.SK
PI424234C,R.SK
PI424235,R.SK
PI424236,R.SK
PI424238,R.SK
PI424241,R.SK
PI424242,R.SK
PI424244,R.SK
PI424245,R.SK
PI424247A,R.SK
PI424247B,R.SK
PI424249C,R.SK
PI424253,R.SK
PI424254,R.SK
PI424255A,R.SK
PI424255B,R.SK
PI424256,R.SK
PI424257A,R.SK
PI424257B,R.SK
PI424258,R.SK
PI424262,R.SK
PI424264,R.SK
PI424265,R.SK
PI424267,R.SK
PI424268,R.SK
PI424269A,R.SK
PI424270A,R.SK
PI424270C,R.SK
PI424272A,R.SK
PI424273B,R.SK
PI424274A,R.SK
PI424274B,R.SK
PI424276,R.SK
PI424280,R.SK
PI424281A,R.SK
PI424281B,R.SK
PI424282,R.SK
